,,,,,,,,,Starts from 01/12/2025,,,,,,
Комплектующие для печей и каминов,炉子和壁炉组件,Stove & Fireplace Components,Печи,炉子,Ovens,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Часы карманные,怀表,"


Pocket Watch

",Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Воздушный змей,风筝,"


Toy Kite

",Подвижные игры,户外游戏,Outdoor Games,Спорт детский,儿童运动用品,Kids Sports,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Средство для очищения косметических принадлежностей,化妆品配件洁面乳,"


Cosmetic Accessory Cleanser

",Декоративная косметика,彩妆化妆品,Decorative Cosmetics,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Аксессуар для поильников,学饮杯配件,"


Drink Bottle Accessory

",Бутылочки и соски,瓶子和奶嘴,Bottles & Nipples,Детская посуда,儿童餐具,Kids Tableware,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Дозатор для зубной пасты,牙膏分配器,Toothpaste Dispenser,Аксессуары для бани и ванной,桑拿和浴室配件,Sauna & Bath Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Ракетка для спидминтона,快速羽毛球球拍,"


Speed Badminton Racket

",Ракетки,球拍,Rackets,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Вспениватель молока ручной,手动奶泡器,Manual Milk Frother,Аксессуары для приготовления пищи,烹饪配件,Cooking Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Фотозонт,摄影伞,"


Photographic Lighting Umbrella

",Оборудование для фотостудии,摄影工作室设备,Photo Studio Equipment,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Резьбонарезной нож,穿线刀,"


Toothed Blade

",Расходники для инструмента,工具耗材,Tool Consumables,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Аквашуз,涉水鞋,"


Aqua Shoes

",Повседневная обувь,休闲鞋,Casual Footwear,Обувь,鞋类,Footwear,All,12.00%,12.00%,12.00%,11.00%,11.00%,11.00%
Хомут быстросъемный,快卸环箍,"


Quick-Release Clamp

",Крепеж и фурнитура,紧固件和配件,Fasteners and Accessories,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Балетки,芭蕾平底鞋,"


Ballet Flats

",Повседневная обувь,休闲鞋,Casual Footwear,Обувь,鞋类,Footwear,All,12.00%,12.00%,12.00%,11.00%,11.00%,11.00%
Крем под подгузник,尿布霜,Diaper Cream,Средства для гигиены тела,身体卫生用品,Body hygiene products,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Переговорное устройство для конференций,会议对讲设备,Conference Negotiation Device,Офисная техника,办公设备,Office Equipment,Периферийные устройства для компьютеров и расходные материалы,电脑外设设备及耗材,Computer Peripherals & Consumables,All,12.00%,14.50%,14.50%,11.00%,13.50%,13.50%
Накладка на кузов,车身罩,"


Body Side Molding

",Тюнинг и внешний декор,汽车改装和外部装饰,Tuning & Exterior Decor,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Чехол на автомобиль,汽车罩,"


Car Cover

",Автоковрики и авточехлы,汽车脚垫和车座套,Car Mats and Car Seat Covers,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Фитинг сантехнический,水暖配件,"


Plumbing Fitting

",Водоснабжение и инженерная сантехника,供水与工程管道,Water Supply & Engineering,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Флакон для духов,香水瓶,"


Perfume Bottle

","Инструменты для макияжа, маникюра, бани и солярия",化妆，美甲，澡堂，美黑的工具,"Make-Up, Manicure, Bath & Indoor Tanning Tools",Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Бейсболка для рыбалки и охоты,钓鱼和狩猎帽 ,"


Fishing and Hunting Cap

",Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Мишень для лука,弓靶,Archery Target,Охота и стрельба,狩猎和射击,Hunting and Shooting,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Ручка дверная с защелкой,带闩锁的门把手,"


Door Handle with Latch

","Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Лейка для гигиенического душа,卫生淋浴喷水罐,"


Hygienic Shower Head

",Смесители и душевые системы,水龙头和淋浴系统,Mixers & Shower Systems,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Порог-площадка,脚踏板,"


Car Step Platform

",Тюнинг и внешний декор,汽车改装和外部装饰,Tuning & Exterior Decor,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Аксессуар для робота-пылесоса,扫地机器人配件,"


Robot Vacuum Cleaner Accessory

",Аксессуары и запчасти для бытовой техники,家用电器配件和备件,Home Appliance Replacement Parts and Accessories,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Коржи,烤饼,"


Layers for Cakes

",Хлеб и кондитерские изделия,面包和糖果点心,Bread & Confectionery,Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Ракетка для спидбола,速球球拍,"


Speedball Racket

",Ракетки,球拍,Rackets,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Пластик самоклеящийся для рукоделия,用于针线活的自粘塑料,"


Self-Adhesive Plastic for Handicraft

",Аксессуары для творчества,手工用品,Arts & Crafts Accessories,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Пелерина для цветотипирования,配色披肩,"


Pelerine for Color Typing

",Товары для цветотипирования,配色产品,Colour Palette Analysis Products,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Бабочка,蝴蝶,Butterfly,Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Люк для автодома,房车舱口,"


Motorhome Sunroof

",Автоаксессуары,汽车配件,Car Accessories,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Ингалятор,吸入器,Inhaler,Медицинские приборы,医疗器械,Medical Devices,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
"Держатель простыни, одеяла",床单、被子固定器,"Bed Sheet, Blanket Holder",Постельное белье,床上用品,Bedding,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Джиббитсы,智必星,Jibbits,Аксессуары для одежды и обуви,服装和鞋类配件,Clothing & Shoes Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Расходные материалы для брекетов,牙套耗材,"


Braces Consumables

",Медицинские инструменты,医疗器械,Medical Tools,Профессиональный уход за полостью рта,专业口腔护理,Professional Oral Care,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Цоколь для кухни,厨房灯头,"


Kitchen Cabinet Toe Kick Molding

",Мебельная фурнитура и комплектующие,家具配件和配置组件,Furniture Accessories & Components,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Набор фиксаторов для обслуживания двигателей авто,汽车发动机保养固定架组,"


Car Engine Maintenance Retainer Set

",Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
